Title,topic
Билим берүүдөгү трансформация. Акыркы 4 жыл ичинде орун алга...,bilim
Бишкектеги №35 мектепке 100 хромбук тапшырылды,bilim
Мектеп окуучулар арасында улуттук олимпиада-2025 старт алды,bilim
"""Санарип кампа"" билим берүү платформасы пилоттук режимде иштей баштады",bilim
Бишкекте жаңы форматтагы “Россия сени менен” аталышындагы борбор ачылды,bilim
Кыргыз студенттери Кореяда өткөн эл аралык сынактын баш байгесин багындырды,bilim
Бишкекте  эки күндүк кыргыз-орус билим берүү форуму башталды,bilim
Билим министри коммуникация тармагында дүйнөнүн алдыңкы корпорациясынын директору  менен жолугушту,bilim
ОшМУда   Erasmus+   программаларынын   институционалдык мониторинги өтүүдө,bilim
Кыргызстандын жарандары үчүн Россиянын ЖОЖдорунан 700 квота бөлүндү,bilim
Кыргызстандык студенттер каржылык коопсуздук боюнча эл аралык олимпиадада жеңүүчү болушту,bilim
Мектеп формасы классикалык стилге дал келиши керек – Билим берүү министрлиги,bilim
Билим берүү министрлиги жаңы окуу жылында мектептерди китеп менен камсыздоо аракетин көрүүдө,bilim
Кыргызстанда август иш-чараларынын алкагында билим саммити өткөрүлөт,bilim
Билим берүү министрлиги: Брайл ариби менен окуу китептери жарык көрдү,bilim
Кыргызстанда билим берүү мекемелеринин жаңы окуу жылына даярдыгы текшерилди,bilim
Кыргызстанда 59 миңге жакын мугалим кесиптик көндүмдөрүнүн деңгээлин жогорулатты,bilim
